feature,importance
sensor_4_mean_10,0.23086439
sensor_4_mean_5,0.22251728
sensor_15_mean_10,0.109951586
sensor_11_mean_10,0.08046608
sensor_11_mean_5,0.07528838
sensor_15_mean_5,0.04006977
sensor_2_mean_10,0.038498353
sensor_9_mean_5,0.018994344
cycle,0.011737245
sensor_6_std_20,0.0088124545
sensor_9_mean_10,0.008540884
sensor_2_mean_5,0.008388066
sensor_3_mean_10,0.0058079045
sensor_9,0.0053277435
sensor_14_mean_10,0.004770238
sensor_7_mean_5,0.004595135
sensor_21_mean_10,0.004121438
sensor_13_mean_5,0.0037077987
sensor_14_mean_5,0.003694143
sensor_12_mean_5,0.0035862336
sensor_3_mean_5,0.003481157
sensor_17_mean_10,0.0034763284
sensor_14_mean_20,0.0033633907
sensor_9_mean_20,0.0031687957
sensor_14_std_20,0.0029948836
sensor_6_std_10,0.0029541852
sensor_7_mean_20,0.0029381956
sensor_13_std_20,0.0029277657
sensor_6_mean_20,0.0028855877
sensor_9_std_20,0.0028717357
sensor_6_std_5,0.0027031559
sensor_17_mean_20,0.0026806074
sensor_8_mean_20,0.0026782977
sensor_7_std_20,0.0025628177
sensor_21_mean_5,0.0024363245
sensor_17_mean_5,0.0024040015
sensor_3_mean_20,0.002347604
sensor_13_mean_10,0.0023096362
sensor_12_mean_10,0.002140402
sensor_12_std_20,0.002129007
sensor_7_mean_10,0.0020380015
sensor_8_std_20,0.0020167567
sensor_15_mean_20,0.0020042686
sensor_20_mean_5,0.001970788
sensor_8_mean_5,0.0019586154
sensor_20_mean_20,0.0018238
sensor_13_mean_20,0.0016861024
sensor_8_mean_10,0.0016622357
sensor_4_mean_20,0.001654871
sensor_20_mean_10,0.001625839
sensor_12_mean_20,0.0016089926
sensor_11_std_20,0.001560295
sensor_11_mean_20,0.001500242
sensor_2_mean_20,0.0014352188
sensor_21_mean_20,0.0014138569
sensor_6_mean_10,0.0012316353
sensor_14,0.0012021342
sensor_4_std_20,0.0011687425
sensor_15_std_20,0.0010920698
sensor_2_std_20,0.0010521414
sensor_17_std_20,0.0009261965
sensor_20_std_20,0.0009237512
sensor_7_std_10,0.0008653087
sensor_12,0.0008162347
sensor_11,0.0007795551
sensor_21_std_20,0.0007690986
sensor_3_std_20,0.00074983865
sensor_7,0.00073928176
sensor_8,0.0007355597
sensor_9_std_10,0.0006500896
sensor_3_std_10,0.00062967266
sensor_17_std_10,0.00060053525
sensor_4_std_10,0.0005669254
sensor_21_std_10,0.00056552846
sensor_2_std_10,0.0005589105
sensor_14_std_10,0.00049134577
sensor_4,0.0004617686
sensor_20_std_10,0.0004601228
sensor_13_std_10,0.0004579909
sensor_2,0.00043944205
sensor_6_mean_5,0.00041523782
sensor_8_std_10,0.00041048217
sensor_15_std_10,0.0004015662
sensor_4_std_5,0.00038685062
sensor_11_std_10,0.0003860859
sensor_17,0.0003640506
sensor_11_std_5,0.000349476
sensor_17_std_5,0.00033345705
sensor_12_std_10,0.00033048584
sensor_3_std_5,0.00032108242
sensor_2_std_5,0.00031766182
sensor_14_std_5,0.000316956
sensor_13,0.0002934328
sensor_20_std_5,0.00029200432
sensor_21_std_5,0.0002873826
sensor_20,0.00028535046
sensor_9_std_5,0.00028295294
sensor_7_std_5,0.00027449086
sensor_13_std_5,0.00026426447
sensor_8_std_5,0.0002591546
sensor_3,0.00025632163
sensor_12_std_5,0.000247714
sensor_15_std_5,0.00023782384
sensor_11_delta,0.00021412667
sensor_15,0.0002049685
sensor_21,0.00018867763
sensor_15_delta,0.0001730733
sensor_2_delta,0.0001570658
op_setting_1,0.0001515799
sensor_9_delta,0.00014899616
sensor_8_delta,0.00014783551
sensor_14_delta,0.00014775922
sensor_4_delta,0.00014141544
sensor_12_delta,0.0001342425
sensor_13_delta,0.00013095888
sensor_7_delta,0.0001268049
sensor_21_delta,0.00011867909
sensor_20_delta,0.00011727415
op_setting_2,0.00011329784
sensor_3_delta,0.00010721038
sensor_17_delta,7.4596195e-05
sensor_10,0.0
sensor_6_delta,0.0
op_setting_3,0.0
sensor_5,0.0
sensor_6,0.0
sensor_19,0.0
sensor_18,0.0
sensor_16,0.0
sensor_1,0.0
